顾客ID,产品ID,产品名称,数量,价格,购买日期,总价
476,35,服装,6,87.0,2024-09-22,522
979,56,电器,5,38.0,2024-08-01,190
284,24,食品,2,55.0,2024-08-31,110
985,90,百货,1,47.0,2024-02-28,47
624,88,电器,3,11.0,2025-01-07,33
650,56,电器,10,87.0,2024-09-10,870
838,70,电器,9,14.0,2024-06-11,126
432,44,水果,4,81.0,2024-08-01,324
351,80,电器,8,15.0,2024-05-09,120
146,73,水果,4,75.0,2024-04-30,300
645,92,家具,5,73.0,2024-12-26,365
617,52,家具,6,43.0,2025-01-11,258
905,94,百货,7,7.0,2024-05-08,49
794,46,家具,1,26.0,2024-05-26,26
792,81,服装,6,5.0,2024-07-04,30
171,73,食品,2,10.0,2024-03-03,20
90,10,食品,4,68.0,2024-08-23,272
643,73,水果,2,10.0,2024-08-30,20
998,65,服装,5,73.0,2024-02-25,365
70,64,食品,9,8.0,2025-01-05,72
304,29,家具,7,52.0,2024-05-04,364
494,18,百货,8,26.0,2024-07-21,208
535,97,水果,6,23.0,2024-04-26,138
376,87,电器,1,76.0,2024-07-06,76
715,76,服装,10,100.0,2024-09-29,1000
432,85,水果,7,69.0,2024-04-26,483
188,49,食品,1,84.0,2024-10-12,84
91,24,服装,5,22.0,2024-04-20,110
932,78,电器,7,32.0,2024-12-29,224
51,46,服装,4,77.0,2024-05-02,308
321,17,食品,4,65.0,2024-11-01,260
611,38,服装,1,94.0,2024-11-05,94
729,4,百货,10,94.0,2025-01-05,940
77,88,百货,3,78.0,2024-04-11,234
666,100,服装,9,55.0,2024-09-24,495
236,2,家具,7,83.0,2024-06-25,581
452,55,百货,5,25.0,2024-08-26,125
416,53,食品,8,15.0,2024-03-18,120
567,81,食品,5,5.0,2025-01-29,25
551,68,水果,4,16.0,2024-08-29,64
613,88,水果,3,11.0,2024-10-21,33
994,76,电器,5,24.0,2024-03-11,120
881,13,家具,9,74.0,2024-08-25,666
475,20,百货,10,19.0,2024-10-14,190
967,81,食品,10,51.0,2024-12-07,510
708,33,水果,9,1.0,2024-05-14,9
379,24,服装,7,92.0,2025-02-05,644
767,5,服装,4,78.0,2025-02-02,312
505,44,水果,8,99.0,2024-03-26,792
652,21,水果,5,24.0,2024-06-25,120
862,69,百货,3,14.0,2024-04-07,42
539,85,电器,7,75.0,2024-08-24,525
567,83,水果,2,35.0,2025-02-06,70
482,96,百货,7,24.0,2024-11-10,168
7,66,水果,3,46.0,2024-06-06,138
825,37,百货,10,93.0,2024-03-24,930
380,33,服装,6,27.0,2024-03-19,162
422,51,家具,5,34.0,2024-07-21,170
811,82,水果,10,86.0,2024-07-10,860
402,82,水果,2,44.0,2024-08-12,88
290,86,百货,5,33.0,2024-12-26,165
31,15,家具,7,23.0,2024-04-12,161
897,61,电器,6,91.0,2024-11-15,546
741,13,食品,9,92.0,2024-11-30,828
340,77,家具,4,75.0,2024-04-05,300
653,79,百货,3,66.0,2024-12-15,198
936,73,服装,1,15.0,2024-09-12,15
848,83,电器,1,34.0,2024-12-07,34
212,11,服装,2,82.0,2024-09-04,164
23,41,电器,6,16.0,2024-07-14,96
952,86,百货,2,96.0,2024-05-29,192
909,67,电器,4,93.0,2024-11-14,372
798,73,水果,4,61.0,2024-08-01,244
629,82,百货,1,97.0,2024-05-19,97
878,32,服装,1,78.0,2024-05-07,78
371,43,家具,2,2.0,2024-08-21,4
609,46,水果,5,4.0,2024-09-15,20
541,45,食品,6,30.0,2024-05-04,180
566,98,食品,5,44.0,2024-12-10,220
998,80,百货,9,31.0,2025-01-06,279
234,55,服装,2,91.0,2024-08-13,182
925,38,服装,2,94.0,2024-02-22,188
960,53,食品,10,46.0,2024-03-03,460
122,52,家具,2,98.0,2024-03-27,196
630,52,百货,10,95.0,2024-05-28,950
515,8,电器,4,44.0,2024-04-29,176
160,52,水果,7,37.0,2024-10-30,259
883,34,百货,9,43.0,2024-03-14,387
300,11,水果,1,99.0,2024-08-01,99
195,95,电器,2,25.0,2024-10-02,50
596,74,家具,1,39.0,2024-07-05,39
530,96,百货,8,41.0,2024-07-24,328
688,5,电器,6,88.0,2024-05-22,528
265,66,电器,4,54.0,2024-10-07,216
956,2,水果,8,25.0,2025-01-02,200
642,54,百货,2,59.0,2024-11-21,118
157,3,服装,5,47.0,2024-10-28,235
391,71,食品,7,68.0,2024-09-23,476
582,39,水果,2,34.0,2024-09-11,68
591,98,服装,10,72.0,2025-01-27,720
511,75,水果,7,8.0,2024-06-02,56
342,30,家具,10,15.0,2024-03-20,150
480,1,百货,8,91.0,2025-02-10,728
871,37,百货,8,41.0,2024-06-29,328
856,82,服装,1,54.0,2025-02-05,54
991,30,食品,1,43.0,2024-11-18,43
496,66,水果,3,82.0,2024-06-18,246
197,47,家具,2,55.0,2024-06-27,110
877,99,水果,5,25.0,2024-11-16,125
409,2,水果,7,2.0,2024-06-09,14
822,92,水果,9,83.0,2024-07-03,747
629,16,水果,5,25.0,2024-07-12,125
696,1,服装,2,58.0,2024-02-18,116
505,23,百货,2,3.0,2024-11-17,6
975,97,百货,6,87.0,2024-02-17,522
765,12,水果,9,44.0,2024-12-16,396
296,86,家具,9,71.0,2025-01-16,639
338,44,家具,1,25.0,2024-09-27,25
455,53,家具,5,43.0,2024-05-26,215
135,60,服装,8,31.0,2024-03-12,248
936,44,食品,3,36.0,2024-06-25,108
255,27,百货,9,17.0,2024-12-26,153
862,99,服装,6,31.0,2024-11-22,186
352,36,食品,7,11.0,2025-01-18,77
864,68,食品,7,81.0,2024-11-18,567
654,21,水果,5,99.0,2025-01-09,495
498,56,水果,4,56.0,2024-09-08,224
646,99,家具,6,84.0,2024-10-30,504
563,45,食品,9,18.0,2024-08-05,162
40,89,电器,7,62.0,2024-11-17,434
434,43,百货,1,27.0,2024-09-19,27
434,77,电器,4,73.0,2024-06-22,292
770,97,食品,9,97.0,2024-08-23,873
440,2,服装,10,75.0,2025-02-04,750
76,95,服装,1,90.0,2025-01-04,90
327,97,食品,6,62.0,2024-06-16,372
911,94,百货,2,73.0,2024-03-19,146
546,90,食品,6,82.0,2025-01-06,492
350,2,食品,4,43.0,2024-06-18,172
897,65,电器,5,68.0,2024-04-20,340
343,46,食品,8,45.0,2024-03-09,360
677,98,电器,2,51.0,2024-08-19,102
210,18,家具,3,12.0,2024-06-09,36
28,47,服装,2,73.0,2024-03-25,146
645,93,百货,7,61.0,2024-09-24,427
994,90,百货,4,17.0,2024-07-17,68
269,69,水果,7,49.0,2024-07-29,343
909,24,百货,3,77.0,2024-09-13,231
774,77,水果,3,58.0,2024-06-16,174
360,43,家具,1,74.0,2024-09-28,74
469,5,家具,1,51.0,2024-04-17,51
68,66,服装,7,54.0,2025-01-22,378
380,69,家具,9,26.0,2025-01-13,234
449,68,家具,3,78.0,2024-06-06,234
67,4,水果,9,57.0,2024-03-01,513
5,15,百货,7,49.0,2024-09-21,343
303,9,食品,7,45.0,2024-11-21,315
354,92,电器,5,45.0,2024-12-03,225
879,55,水果,2,75.0,2024-09-22,150
570,94,服装,9,52.0,2024-04-06,468
165,59,水果,2,12.0,2025-02-10,24
324,7,家具,5,58.0,2024-03-18,290
740,31,食品,9,59.0,2024-05-29,531
256,57,百货,10,2.0,2024-07-22,20
435,76,服装,2,16.0,2024-12-10,32
290,55,电器,3,43.0,2024-03-30,129
290,35,电器,5,49.0,2024-12-30,245
349,3,百货,8,28.0,2024-09-21,224
895,96,食品,2,1.0,2025-01-20,2
403,48,家具,4,58.0,2024-08-15,232
390,78,百货,7,77.0,2024-08-27,539
862,84,百货,6,65.0,2025-01-09,390
95,4,服装,3,55.0,2024-05-09,165
915,66,服装,1,8.0,2024-06-05,8
159,5,食品,10,5.0,2024-07-04,50
388,52,服装,5,56.0,2024-04-26,280
850,1,服装,7,27.0,2024-02-25,189
818,25,水果,1,51.0,2025-01-24,51
78,41,百货,6,22.0,2024-11-22,132
465,67,电器,7,21.0,2024-05-01,147
665,28,电器,6,78.0,2024-04-16,468
913,55,百货,8,50.0,2024-06-09,400
988,93,电器,6,84.0,2024-11-06,504
180,74,电器,8,88.0,2024-06-21,704
30,78,食品,6,72.0,2024-11-24,432
988,7,百货,8,13.0,2024-08-06,104
515,4,水果,3,98.0,2024-07-17,294
839,8,家具,8,37.0,2024-05-25,296
783,29,服装,7,40.0,2024-04-02,280
787,7,服装,7,7.0,2024-02-18,49
751,61,水果,1,63.0,2024-08-24,63
574,29,电器,2,25.0,2024-08-11,50
942,30,食品,6,90.0,2024-12-20,540
406,29,电器,6,88.0,2024-12-03,528
838,29,家具,5,17.0,2024-03-23,85
347,22,水果,7,62.0,2024-07-06,434
48,75,食品,4,55.0,2024-09-23,220
222,2,电器,6,51.0,2024-04-06,306
156,59,百货,3,88.0,2024-05-03,264
807,11,服装,7,98.0,2024-10-17,686
5,24,百货,4,79.0,2024-02-11,316
393,38,电器,8,75.0,2024-09-17,600
633,36,水果,10,1.0,2024-03-01,10
995,21,百货,2,53.0,2024-10-14,106
146,30,电器,5,13.0,2024-03-13,65
908,99,水果,8,86.0,2024-07-28,688
41,43,食品,5,30.0,2024-10-10,150
518,44,水果,6,67.0,2024-06-18,402
144,63,百货,4,27.0,2024-07-21,108
250,46,家具,1,47.0,2024-08-25,47
68,91,服装,5,32.0,2024-09-30,160
949,68,电器,2,68.0,2024-05-10,136
531,27,服装,4,98.0,2024-09-06,392
23,22,服装,1,16.0,2024-06-06,16
984,45,百货,6,91.0,2024-10-05,546
729,94,服装,8,91.0,2024-09-23,728
528,29,百货,8,9.0,2024-06-15,72
759,7,百货,5,4.0,2024-03-14,20
781,33,百货,4,31.0,2024-12-31,124
77,21,百货,5,9.0,2024-08-08,45
41,59,电器,3,39.0,2024-09-13,117
598,45,电器,4,17.0,2024-12-24,68
822,12,食品,3,62.0,2025-01-14,186
4,13,食品,5,25.0,2024-03-01,125
93,75,水果,4,45.0,2024-05-18,180
465,4,家具,2,16.0,2024-09-08,32
869,31,百货,9,19.0,2024-04-24,171
371,94,服装,7,44.0,2024-04-27,308
526,15,电器,3,7.0,2024-06-20,21
310,7,电器,4,57.0,2024-09-25,228
121,74,水果,4,29.0,2024-05-02,116
471,45,百货,3,25.0,2024-06-30,75
567,99,家具,5,84.0,2025-01-08,420
328,77,电器,6,13.0,2025-01-16,78
823,7,服装,7,36.0,2024-11-25,252
433,28,百货,5,45.0,2024-05-01,225
621,80,家具,6,55.0,2024-03-20,330
714,11,百货,3,32.0,2024-08-05,96
447,4,百货,5,50.0,2024-04-11,250
796,17,水果,9,41.0,2024-12-18,369
544,74,百货,3,88.0,2024-12-29,264
647,18,食品,7,92.0,2024-09-18,644
693,62,水果,5,2.0,2024-08-15,10
957,74,家具,8,13.0,2024-11-26,104
799,59,服装,9,41.0,2024-02-23,369
810,47,服装,10,21.0,2025-01-25,210
365,21,水果,5,100.0,2024-07-11,500
232,87,服装,4,65.0,2024-07-10,260
558,1,水果,7,4.0,2024-09-29,28
344,85,食品,9,44.0,2024-11-02,396
701,60,食品,2,97.0,2024-07-13,194
604,26,水果,10,67.0,2024-12-25,670
852,21,家具,1,12.0,2024-12-14,12
536,82,家具,1,68.0,2024-11-13,68
433,77,电器,3,5.0,2025-01-22,15
182,11,家具,3,26.0,2024-08-11,78
514,49,百货,4,27.0,2024-07-29,108
998,34,百货,7,74.0,2025-01-08,518
139,94,水果,3,6.0,2024-08-22,18
437,93,电器,5,55.0,2024-08-12,275
70,93,百货,7,68.0,2024-11-03,476
363,11,家具,5,7.0,2024-03-30,35
526,30,电器,7,21.0,2024-05-24,147
566,93,家具,1,13.0,2024-06-22,13
10,67,百货,8,42.0,2024-12-20,336
257,44,服装,5,17.0,2024-05-28,85
630,48,水果,4,29.0,2024-06-13,116
515,4,水果,1,41.0,2024-09-14,41
962,79,食品,1,65.0,2024-06-28,65
865,48,百货,6,30.0,2024-09-22,180
554,86,食品,1,41.0,2024-12-12,41
847,46,百货,2,38.0,2024-09-03,76
694,42,水果,9,50.0,2024-07-31,450
322,63,水果,10,21.0,2024-11-14,210
523,87,食品,8,52.0,2024-12-24,416
462,11,电器,8,28.0,2025-02-07,224
37,44,家具,9,21.0,2024-08-08,189
560,72,电器,7,53.0,2024-09-10,371
776,30,百货,7,35.0,2024-02-22,245
993,94,水果,1,96.0,2024-09-17,96
721,94,食品,7,88.0,2024-11-23,616
926,72,电器,9,61.0,2025-01-04,549
642,53,水果,4,75.0,2024-11-11,300
871,15,食品,7,7.0,2024-07-11,49
482,57,百货,10,7.0,2024-05-28,70
969,66,服装,7,3.0,2024-05-10,21
166,2,水果,9,24.0,2024-06-29,216
873,7,服装,1,66.0,2024-10-09,66
774,97,服装,7,22.0,2024-11-08,154
112,75,电器,1,72.0,2024-09-05,72
117,52,百货,10,19.0,2024-12-18,190
950,55,服装,3,89.0,2024-12-03,267
17,45,百货,6,1.0,2025-01-04,6
993,82,电器,4,48.0,2024-06-12,192
158,27,食品,7,100.0,2024-05-13,700
944,58,食品,7,37.0,2024-12-01,259
223,7,服装,8,79.0,2024-11-01,632
892,95,百货,6,57.0,2024-12-06,342
733,29,家具,7,8.0,2025-01-12,56
937,30,百货,10,55.0,2025-01-04,550
929,15,服装,9,90.0,2024-12-20,810
822,53,电器,9,28.0,2024-12-17,252
109,84,电器,10,68.0,2024-08-07,680
313,60,服装,10,88.0,2025-01-28,880
378,84,食品,1,44.0,2024-04-26,44
8,15,电器,10,82.0,2024-04-21,820
153,7,食品,10,49.0,2024-05-01,490
665,76,家具,5,12.0,2024-11-15,60
675,62,服装,4,16.0,2025-02-02,64
484,65,家具,2,62.0,2024-03-07,124
464,65,服装,7,39.0,2024-10-03,273
897,78,水果,5,46.0,2024-02-29,230
505,98,服装,3,37.0,2024-04-01,111
130,1,百货,8,73.0,2024-08-07,584
419,4,水果,8,37.0,2025-01-06,296
453,54,服装,4,57.0,2024-12-18,228
114,2,服装,8,33.0,2025-01-22,264
867,67,百货,7,52.0,2024-08-06,364
50,81,服装,10,79.0,2024-12-06,790
667,80,服装,4,6.0,2024-04-22,24
146,100,食品,2,90.0,2024-03-08,180
393,54,百货,4,14.0,2024-10-12,56
452,11,电器,6,7.0,2024-06-16,42
497,34,电器,10,51.0,2024-10-14,510
369,71,服装,4,88.0,2024-07-19,352
589,31,食品,4,16.0,2024-04-17,64
542,59,电器,5,3.0,2024-05-08,15
646,74,水果,1,18.0,2024-06-15,18
773,37,水果,7,68.0,2024-04-10,476
177,18,百货,5,89.0,2024-06-10,445
334,45,家具,5,28.0,2024-05-23,140
374,85,家具,7,16.0,2024-04-05,112
748,34,服装,4,63.0,2024-08-18,252
771,61,服装,9,9.0,2024-08-21,81
665,36,服装,6,75.0,2024-05-01,450
117,4,百货,1,97.0,2024-10-27,97
507,3,家具,2,24.0,2024-04-12,48
797,16,水果,4,13.0,2024-05-03,52
963,64,家具,3,87.0,2024-06-05,261
109,51,服装,4,59.0,2024-04-21,236
155,62,家具,7,88.0,2025-01-10,616
28,70,服装,9,31.0,2025-01-14,279
291,95,百货,7,70.0,2024-12-29,490
320,73,水果,1,59.0,2024-09-05,59
523,9,服装,6,20.0,2024-12-24,120
420,60,百货,3,71.0,2024-09-09,213
244,99,水果,10,69.0,2024-11-06,690
679,37,电器,10,45.0,2024-12-27,450
578,76,服装,9,27.0,2024-11-12,243
795,32,食品,2,31.0,2024-02-18,62
810,95,百货,4,53.0,2025-02-03,212
298,67,服装,2,17.0,2024-05-30,34
258,5,水果,10,1.0,2024-02-29,10
127,59,家具,4,76.0,2024-10-06,304
695,14,服装,4,68.0,2025-02-06,272
439,81,食品,6,86.0,2024-07-01,516
725,4,电器,8,20.0,2024-04-27,160
282,46,百货,3,13.0,2025-01-11,39
349,2,食品,6,46.0,2024-07-17,276
172,81,百货,10,67.0,2024-08-04,670
803,70,家具,6,99.0,2024-04-21,594
2,49,百货,6,83.0,2024-06-04,498
457,76,电器,10,77.0,2024-07-16,770
690,9,服装,8,77.0,2024-03-23,616
341,36,服装,10,20.0,2024-03-21,200
169,72,家具,1,9.0,2024-06-19,9
994,15,服装,7,81.0,2024-07-05,567
362,89,食品,8,33.0,2024-09-11,264
684,34,食品,6,98.0,2025-02-09,588
537,27,食品,9,27.0,2024-07-23,243
1000,27,百货,2,48.0,2024-06-01,96
831,28,服装,5,34.0,2024-12-20,170
890,75,百货,3,96.0,2024-03-08,288
916,2,服装,3,72.0,2025-01-27,216
114,55,百货,8,75.0,2024-02-20,600
986,14,服装,3,1.0,2025-01-06,3
463,44,电器,10,34.0,2024-03-29,340
693,3,水果,10,3.0,2024-02-15,30
473,34,百货,8,35.0,2024-06-13,280
668,7,百货,8,51.0,2024-10-04,408
989,49,水果,2,92.0,2024-07-13,184
107,38,服装,4,27.0,2024-06-27,108
280,13,家具,4,45.0,2024-07-31,180
8,79,服装,8,59.0,2024-09-12,472
954,12,电器,10,77.0,2024-07-24,770
595,57,食品,1,75.0,2024-11-18,75
980,19,百货,10,48.0,2024-11-11,480
17,47,电器,4,8.0,2024-11-27,32
332,4,服装,8,93.0,2024-08-25,744
225,45,百货,9,8.0,2024-08-16,72
598,15,百货,6,98.0,2024-08-23,588
450,32,食品,9,24.0,2024-12-20,216
50,47,水果,10,24.0,2024-05-27,240
665,96,电器,8,51.0,2024-08-05,408
616,82,水果,3,9.0,2024-09-19,27
248,70,家具,8,53.0,2024-04-12,424
391,97,水果,5,61.0,2024-09-29,305
831,45,电器,7,18.0,2024-09-03,126
336,96,百货,5,67.0,2024-12-31,335
427,66,水果,9,60.0,2024-08-01,540
436,80,水果,3,72.0,2024-08-16,216
966,27,服装,5,73.0,2024-11-05,365
711,2,水果,5,76.0,2024-12-19,380
393,47,百货,9,4.0,2024-08-26,36
852,42,百货,5,81.0,2024-06-04,405
528,95,电器,5,65.0,2024-10-29,325
996,34,水果,8,83.0,2024-07-29,664
692,27,家具,9,45.0,2024-12-05,405
832,93,食品,10,44.0,2025-02-07,440
718,13,食品,2,2.0,2024-07-28,4
163,89,水果,5,56.0,2024-05-30,280
945,73,家具,4,33.0,2024-03-10,132
318,83,水果,7,38.0,2024-11-13,266
649,53,水果,8,83.0,2024-10-09,664
788,56,电器,10,33.0,2025-02-04,330
837,42,服装,1,63.0,2024-11-12,63
642,85,家具,3,65.0,2024-05-27,195
25,29,电器,6,30.0,2024-09-06,180
193,84,水果,2,7.0,2024-11-05,14
700,8,食品,5,74.0,2024-04-22,370
616,26,食品,10,39.0,2024-07-11,390
817,86,服装,2,40.0,2024-02-18,80
965,7,水果,10,71.0,2024-04-05,710
40,13,食品,10,51.0,2024-09-14,510
740,36,家具,4,36.0,2025-01-01,144
533,11,百货,6,46.0,2024-05-08,276
972,19,食品,10,25.0,2024-11-13,250
589,3,水果,9,72.0,2024-12-01,648
204,21,家具,9,30.0,2024-05-31,270
15,12,服装,7,31.0,2024-02-24,217
84,93,食品,6,84.0,2024-11-26,504
660,76,百货,8,21.0,2024-08-15,168
81,52,电器,1,59.0,2024-06-29,59
452,33,百货,3,53.0,2024-04-18,159
634,68,服装,3,46.0,2024-09-08,138
548,59,家具,7,53.0,2024-04-01,371
187,16,水果,7,52.0,2024-08-10,364
171,95,服装,10,33.0,2024-03-23,330
318,55,服装,5,12.0,2024-03-05,60
67,47,食品,2,61.0,2024-12-20,122
32,61,电器,2,53.0,2024-12-20,106
552,42,家具,9,76.0,2025-01-18,684
961,81,百货,7,36.0,2024-12-17,252
423,57,服装,7,81.0,2024-08-18,567
205,55,电器,1,68.0,2024-12-23,68
242,68,水果,7,83.0,2024-11-26,581
68,98,家具,7,65.0,2024-08-27,455
663,98,百货,9,64.0,2025-01-14,576
831,81,电器,7,4.0,2024-11-08,28
752,41,百货,6,57.0,2024-03-09,342
219,14,家具,9,80.0,2024-07-19,720
673,22,电器,2,69.0,2024-05-05,138
830,94,百货,2,18.0,2024-12-20,36
710,82,食品,2,28.0,2024-02-28,56
1000,4,服装,7,13.0,2024-05-15,91
63,68,百货,1,61.0,2024-04-04,61
207,11,百货,1,50.0,2024-06-30,50
757,70,服装,5,95.0,2024-10-09,475
449,27,服装,10,88.0,2024-10-03,880
639,88,食品,10,6.0,2024-10-15,60
977,55,家具,8,81.0,2024-07-12,648
180,88,服装,6,45.0,2024-05-22,270
169,1,电器,10,55.0,2024-11-15,550
846,79,百货,1,26.0,2024-02-20,26
160,89,水果,4,1.0,2024-05-03,4
905,23,电器,1,56.0,2024-10-14,56
400,64,家具,9,28.0,2025-01-19,252
170,93,服装,6,19.0,2024-12-23,114
392,23,百货,1,90.0,2024-09-07,90
326,45,家具,5,69.0,2024-09-16,345
270,84,服装,3,97.0,2025-01-08,291
682,11,服装,10,96.0,2024-03-03,960
378,47,电器,4,59.0,2024-11-29,236
208,64,电器,7,67.0,2024-06-26,469
171,70,电器,2,5.0,2024-06-28,10
420,21,百货,8,28.0,2024-06-27,224
221,27,食品,6,43.0,2024-05-27,258
194,85,水果,3,7.0,2024-09-11,21
39,7,服装,2,62.0,2024-11-22,124
695,81,家具,9,23.0,2024-10-13,207
394,76,家具,9,95.0,2024-11-28,855
875,8,电器,10,60.0,2025-01-17,600
714,52,百货,5,72.0,2024-11-02,360
246,62,水果,3,48.0,2024-10-08,144
586,51,服装,1,58.0,2024-04-13,58
743,69,食品,5,53.0,2024-11-19,265
998,18,服装,4,97.0,2024-09-16,388
127,74,服装,4,85.0,2025-01-19,340
608,85,百货,4,100.0,2024-10-04,400
210,31,家具,8,100.0,2024-04-13,800
553,55,服装,8,31.0,2024-02-13,248
904,100,家具,3,89.0,2025-02-08,267
582,21,服装,6,69.0,2024-07-15,414
958,15,食品,1,10.0,2024-11-24,10
261,26,食品,2,9.0,2025-01-25,18
71,88,食品,8,94.0,2025-01-04,752
913,73,服装,1,3.0,2024-11-04,3
951,4,百货,8,16.0,2024-02-17,128
862,20,服装,5,12.0,2024-02-22,60
517,56,家具,8,42.0,2024-06-03,336
857,32,食品,2,91.0,2024-05-24,182
704,33,水果,3,45.0,2024-03-30,135
227,94,水果,9,68.0,2024-07-01,612
981,51,水果,4,79.0,2024-11-17,316
857,78,食品,9,96.0,2024-09-18,864
28,37,服装,1,98.0,2024-08-14,98
34,61,水果,1,50.0,2024-08-26,50
109,80,水果,8,72.0,2024-06-14,576
189,66,电器,6,94.0,2024-04-08,564
932,93,电器,6,26.0,2024-08-19,156
281,28,服装,8,47.0,2024-11-22,376
211,68,百货,9,1.0,2024-05-02,9
537,60,电器,8,98.0,2024-05-01,784
1000,57,百货,3,52.0,2024-04-07,156
18,86,食品,7,39.0,2024-02-14,273
758,28,水果,4,64.0,2024-11-17,256
750,1,水果,1,69.0,2024-05-30,69
332,70,服装,10,88.0,2024-12-24,880
45,37,服装,6,10.0,2024-09-15,60
381,76,家具,8,10.0,2024-09-18,80
153,35,服装,8,37.0,2024-10-09,296
61,44,电器,3,9.0,2024-05-24,27
643,98,家具,7,35.0,2024-09-16,245
736,85,家具,6,74.0,2024-04-18,444
83,52,百货,1,80.0,2024-05-09,80
216,64,水果,10,39.0,2024-03-12,390
685,43,食品,1,34.0,2024-07-03,34
82,63,服装,1,19.0,2025-01-26,19
646,22,食品,4,18.0,2024-03-28,72
640,90,百货,7,22.0,2024-10-05,154
664,85,食品,1,81.0,2024-04-13,81
667,83,食品,6,50.0,2024-11-22,300
306,6,水果,1,37.0,2024-05-07,37
640,11,服装,6,40.0,2024-07-04,240
844,41,水果,5,51.0,2024-11-30,255
331,3,食品,7,61.0,2024-02-15,427
205,37,食品,1,60.0,2024-11-02,60
1000,97,水果,5,80.0,2024-05-23,400
99,100,家具,4,9.0,2024-06-24,36
943,13,电器,4,24.0,2024-05-07,96
23,95,食品,5,39.0,2024-04-08,195
854,85,服装,9,13.0,2024-05-03,117
588,1,电器,10,56.0,2025-01-14,560
907,41,服装,7,21.0,2024-09-15,147
301,6,百货,4,65.0,2024-08-19,260
736,70,食品,4,81.0,2024-05-02,324
728,91,电器,7,45.0,2024-02-20,315
483,10,电器,4,44.0,2024-10-30,176
585,48,电器,7,20.0,2024-02-17,140
144,40,服装,10,5.0,2024-06-10,50
324,72,百货,3,28.0,2024-10-09,84
414,53,服装,6,17.0,2024-09-03,102
836,74,食品,6,62.0,2024-05-10,372
509,87,食品,2,47.0,2024-11-27,94
689,69,百货,8,65.0,2024-09-07,520
167,24,食品,9,24.0,2024-06-13,216
179,68,食品,9,1.0,2024-06-06,9
323,83,家具,5,61.0,2024-12-30,305
858,39,电器,2,8.0,2024-09-10,16
601,49,百货,9,68.0,2024-08-08,612
515,54,家具,2,60.0,2024-06-15,120
906,85,食品,2,65.0,2024-08-17,130
337,56,食品,10,69.0,2024-06-02,690
36,5,食品,7,3.0,2024-10-10,21
81,43,食品,1,41.0,2025-01-23,41
297,9,百货,8,84.0,2024-06-23,672
772,85,家具,6,76.0,2024-05-16,456
828,84,百货,4,30.0,2024-09-11,120
357,15,水果,6,5.0,2024-09-05,30
157,71,电器,2,72.0,2024-12-19,144
272,15,食品,6,33.0,2025-01-13,198
268,87,百货,7,60.0,2024-02-11,420
602,93,电器,3,47.0,2024-04-01,141
152,97,服装,8,73.0,2025-02-03,584
946,40,食品,5,96.0,2024-08-17,480
554,87,食品,9,14.0,2025-02-02,126
258,66,食品,10,100.0,2024-12-08,1000
708,99,食品,8,78.0,2024-09-24,624
901,8,电器,8,41.0,2024-10-12,328
607,4,食品,10,86.0,2024-05-07,860
472,36,百货,5,94.0,2024-12-27,470
184,34,水果,6,60.0,2024-07-31,360
872,46,水果,1,81.0,2025-01-18,81
850,63,百货,2,79.0,2024-08-30,158
146,59,百货,5,27.0,2025-01-06,135
978,19,服装,9,95.0,2024-09-09,855
367,49,服装,6,97.0,2024-07-17,582
492,31,服装,10,28.0,2024-02-12,280
467,86,服装,7,96.0,2024-02-17,672
725,21,百货,2,80.0,2024-09-29,160
857,1,水果,5,92.0,2024-04-15,460
573,90,电器,1,26.0,2024-03-20,26
981,64,百货,8,68.0,2024-02-26,544
82,52,家具,6,69.0,2025-02-06,414
174,1,食品,4,87.0,2024-12-27,348
73,57,电器,4,50.0,2024-10-01,200
593,57,食品,5,9.0,2024-08-02,45
674,91,百货,6,44.0,2024-10-15,264
347,8,百货,8,4.0,2024-04-21,32
240,13,服装,2,8.0,2024-02-20,16
162,47,家具,3,14.0,2025-01-01,42
118,90,水果,5,40.0,2024-03-29,200
380,2,食品,2,37.0,2025-01-08,74
909,37,家具,2,92.0,2024-12-10,184
855,59,百货,3,48.0,2024-09-11,144
967,29,食品,7,33.0,2024-07-11,231
87,8,水果,3,81.0,2024-05-07,243
725,10,服装,7,12.0,2024-06-23,84
758,14,电器,7,90.0,2024-11-24,630
670,21,水果,6,76.0,2024-08-15,456
290,11,水果,6,89.0,2024-07-23,534
537,57,家具,9,36.0,2024-04-27,324
523,82,家具,8,80.0,2024-03-03,640
225,31,百货,10,22.0,2024-11-08,220
581,37,电器,9,44.0,2024-06-22,396
894,32,服装,9,52.0,2024-12-17,468
478,76,食品,2,12.0,2024-05-26,24
531,7,水果,10,5.0,2024-10-27,50
386,89,食品,8,24.0,2024-05-05,192
105,100,食品,8,84.0,2024-07-15,672
964,76,电器,1,29.0,2024-10-08,29
744,46,电器,2,12.0,2024-02-25,24
171,72,食品,8,43.0,2024-09-03,344
129,20,水果,8,27.0,2024-02-26,216
653,78,百货,1,96.0,2024-12-03,96
555,64,家具,7,51.0,2024-10-05,357
989,8,服装,8,52.0,2024-12-03,416
471,97,家具,1,83.0,2024-09-14,83
821,10,电器,9,52.0,2024-12-26,468
262,83,食品,8,34.0,2024-12-09,272
832,78,家具,7,29.0,2024-08-24,203
459,80,百货,4,6.0,2024-07-07,24
717,39,水果,10,4.0,2025-01-09,40
875,30,水果,8,56.0,2024-05-12,448
